idVille;year_;month_;ville;prix_moyen_mois_maison_vente;prix_moyen_mois_appart_location;prix_moyen_mois_appart_vente;prix_moyen_mois_maison_location;rendement_maison;rendement_appart
2991;2019.0;1;Dijon;2396.6166666669;14.0666666667;2396.6166666669;14.0666666667;7.0432623768;7.0432623768
2978;2018.0;11;Nice;5349.1816666697;22.6833333333;5349.1816666697;22.6833333333;5.0886288214;5.0886288214
2993;2018.0;10;Le Mans;2843.96;11.0;1564.57;8.9;3.7553270791;8.436822897
2978;2018.0;12;Nice;5368.1700000011;22.9;5368.1700000011;22.9;5.1190629209;5.1190629209
3008;2018.0;12;Perpignan;1716.6949999994;10.9;1716.6949999994;10.9;7.6192917204;7.6192917204
2984;2018.0;12;Le Havre;2045.8375000001;16.24;2045.8375000001;16.24;9.5256832471;9.5256832471
2984;2018.0;10;Le Havre;1954.77;25.4;5127.53;14.0;8.594361485;5.944382578
2974;2019.0;1;Paris;9601.7219607464;36.5627450975;9601.7219607464;36.5627450975;4.5695234976;4.5695234976
2984;2018.0;11;Le Havre;2056.0899999993;15.6666666667;2056.0899999993;15.6666666667;9.1435686181;9.1435686181
2985;2019.0;1;Reims;2380.8233333337;13.5333333333;2380.8233333337;13.5333333333;6.8211697074;6.8211697074
2998;2019.0;1;Nîmes;2158.2233333329;11.8333333333;2158.2233333329;11.8333333333;6.5794859043;6.5794859043
2990;2019.0;1;Angers;2473.5266666668;13.0333333333;2473.5266666668;13.0333333333;6.3229558875;6.3229558875
2977;2018.0;10;Toulouse;1770.7;17.5;2034.2799999999;11.6;7.8612977918;10.3230627052
2982;2019.0;1;Bordeaux;5284.6500000008;24.7333333333;5284.6500000008;24.7333333333;5.6162659779;5.6162659779
3004;2019.0;1;Orléans;2313.1033333332;12.7666666667;2313.1033333332;12.7666666667;6.6231368825;6.6231368825
2977;2018.0;12;Toulouse;4399.735;16.46;4399.735;16.46;4.4893612911;4.4893612911
2977;2018.0;11;Toulouse;4272.802857142;15.9333333333;4272.802857142;15.9333333333;4.4748144577;4.4748144577
